Id,Data,Titulo,StoryId,LivroId,Rotas,QuantLiked,QuantShared,Html,Discriminator,Versiculo,Posicao,UserModelId,ContentId
1,2025-01-04 17:47:21.0129801,capitulos,1,NULL,NULL,0,0,<a href=''#'' class=''LinkPadrao''> <h1> seres vivos </h1> </a>,Pagina,1,NULL,NULL,NULL
2,2025-01-04 17:47:21.0122728,seres vivos,2,1,NULL,0,0,<p> Seja bem-vindo a story Natureza  </p>,Chave,1,NULL,NULL,NULL
3,2025-01-04 17:47:21.1325142,pagina 2,2,1,NULL,0,0,"<p style=""text-align: center;""><iframe title=""ENCONTRANDO UM GIGANTE NA NATUREZA, A BALEIA CINZENTA! | RICHARD RASMUSSEN"" src=""https://www.youtube.com/embed/r_eLOG096sE"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p>",Chave,2,NULL,NULL,NULL
4,2025-01-04 17:47:21.1378630,pagina 3,2,1,NULL,0,0,"<p>A&nbsp;<strong>baleia-cinzenta</strong>&nbsp;(<em>Eschrichtius robustus</em>) &eacute; um&nbsp;<a class=""mw-redirect"" title=""Mam&iacute;fero"" href=""https://pt.wikipedia.org/wiki/Mam%C3%ADfero"">mam&iacute;fero</a>&nbsp;<a class=""mw-redirect"" title=""Cet&aacute;ceo"" href=""https://pt.wikipedia.org/wiki/Cet%C3%A1ceo"">cet&aacute;ceo</a>&nbsp;da fam&iacute;lia dos&nbsp;<a class=""mw-redirect"" title=""Eschrichtiidae"" href=""https://pt.wikipedia.org/wiki/Eschrichtiidae"">escrict&iacute;deos</a>. &Eacute; a &uacute;nica esp&eacute;cie viva em seu g&ecirc;nero e fam&iacute;lia, mas uma esp&eacute;cie extinta foi descoberta e colocada no g&ecirc;nero em 2017, a&nbsp;<a class=""new"" title=""Baleia Akishima (p&aacute;gina n&atilde;o existe)"" href=""https://pt.wikipedia.org/w/index.php?title=Baleia_Akishima&amp;action=edit&amp;redlink=1"">Baleia Akishima</a>.<sup id=""cite_ref-N&atilde;o_nomeado-20230316141054_2-0"" class=""reference""><a href=""https://pt.wikipedia.org/wiki/Baleia-cinzenta#cite_note-N%C3%A3o_nomeado-20230316141054-2"">[2]</a></sup></p>
<h2><span id=""Descri.C3.A7.C3.A3o""></span><span id=""Descri&ccedil;&atilde;o"" class=""mw-headline"">Descri&ccedil;&atilde;o</span></h2>
<figure class=""mw-halign-left""><a class=""mw-file-description"" href=""https://pt.wikipedia.org/wiki/Ficheiro:Eschrichtius_robustus_01-cropped.jpg""><img class=""mw-file-element"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Eschrichtius_robustus_01-cropped.jpg/210px-Eschrichtius_robustus_01-cropped.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Eschrichtius_robustus_01-cropped.jpg/315px-Eschrichtius_robustus_01-cropped.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Eschrichtius_robustus_01-cropped.jpg/420px-Eschrichtius_robustus_01-cropped.jpg 2x"" width=""210"" height=""133"" data-file-width=""800"" data-file-height=""508"" /></a>
<figcaption>Uma baleia-cinzenta&nbsp;<a title=""Comportamento de superf&iacute;cie dos cet&aacute;ceos"" href=""https://pt.wikipedia.org/wiki/Comportamento_de_superf%C3%ADcie_dos_cet%C3%A1ceos"">saltando</a>.</figcaption>
</figure>
<p>Os indiv&iacute;duos j&aacute; foram chamados de &ldquo;peixes do diabo&rdquo; porque s&atilde;o muito resistentes e brigam quando ca&ccedil;ados. Esse nome entretanto est&aacute; biologicamente incorreto, pois as baleias n&atilde;o s&atilde;o peixes.<sup id=""cite_ref-3"" class=""reference""><a href=""https://pt.wikipedia.org/wiki/Baleia-cinzenta#cite_note-3"">[3]</a></sup>&nbsp;Seu tamanho pode atingir cerca de 15 metros de comprimento e pesar cerca de 35 toneladas. Sua alimenta&ccedil;&atilde;o &eacute; a base de anf&iacute;podos (pequenos crust&aacute;ceos que vivem na &aacute;gua ou pr&oacute;ximo, incluindo pulgas de areia e piolhos de baleia), krill, pl&acirc;ncton e moluscos. Ao contr&aacute;rio de outros cet&aacute;ceos, a baleia-cinzenta tende a alimentar-se junto ao fundo do mar, onde agita a &aacute;gua para levantar material do fundo de onde consegue filtrar os seus alimentos. A distribui&ccedil;&atilde;o atual e contida ao Oceano&nbsp;<a title=""Oceano Pac&iacute;fico"" href=""https://pt.wikipedia.org/wiki/Oceano_Pac%C3%ADfico"">pac&iacute;fico</a>. A baleia-cinzenta tamb&eacute;m ocorre em &aacute;guas litorais desde o mar de Okhotsk at&eacute; a Coreia do Sul e Jap&atilde;o e desde os mares de Chukchi e de Beaufort no golfo do M&eacute;xico.</p>
<p>O recorde de cerca de maior dist&acirc;ncia percorrida por um vertebrado marinho j&aacute; registrada pertence a uma baleia-cinzenta que que nadou 26,8 mil quil&ocirc;metros. O cet&aacute;ceo em quest&atilde;o &eacute; um macho de 12 metros de comprimento avistado pr&oacute;ximo &agrave;&nbsp;<a title=""Nam&iacute;bia"" href=""https://pt.wikipedia.org/wiki/Nam%C3%ADbia"">Nam&iacute;bia</a>&nbsp;em 2013. Ele tamb&eacute;m &eacute; a primeira e &uacute;nica baleia-cinzenta a ser registrada no&nbsp;<a title=""Hemisf&eacute;rio sul"" href=""https://pt.wikipedia.org/wiki/Hemisf%C3%A9rio_sul"">Hemisf&eacute;rio Sul</a>.<sup id=""cite_ref-4"" class=""reference""><a href=""https://pt.wikipedia.org/wiki/Baleia-cinzenta#cite_note-4"">[4]</a></sup></p>",Chave,3,NULL,NULL,NULL
5,2025-01-04 17:47:21.1493160,pagina 4,2,1,NULL,0,0,"<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://static.nationalgeographicbrasil.com/files/styles/image_3200/public/w7rx5g.webp?w=1450&amp;h=816"" alt="""" width=""320"" height=""180"" /></p>",Chave,4,NULL,NULL,NULL
6,2025-01-04 17:47:21.1532854,pagina 5,2,1,NULL,0,0,"<p style=""text-align: center;""><iframe title=""AS CINCO BALEIAS MAIS INCR&Iacute;VEIS QUE EU J&Aacute; ENCONTREI! | RICHARD RASMUSSEN"" src=""https://www.youtube.com/embed/ui70_rhmGtM"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p>",Chave,5,NULL,NULL,NULL
7,2025-01-04 17:47:21.1570639,pagina 6,2,1,NULL,0,0,"<p style=""text-align: center;""><iframe title=""UMA ON&Ccedil;A-PINTADA SELVAGEM INVADIU O INSTITUTO! | RICHARD RASMUSSEN"" src=""https://www.youtube.com/embed/c6zPTqvDDN8"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p>",Chave,6,NULL,NULL,NULL
8,2025-01-04 17:47:21.1611401,pagina 7,2,1,NULL,0,0,"<p style=""text-align: center;""><iframe title=""OS R&Eacute;PTEIS DA MATA ATL&Acirc;NTICA! | RICHARD RASMUSSEN"" src=""https://www.youtube.com/embed/1zueHDxHJWA"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p>",Chave,7,NULL,NULL,NULL
9,2025-01-04 17:47:21.1738022,pagina 8,2,1,NULL,0,0,"<p style=""text-align: center;""><iframe title=""UMA SUCURI PRETA GIGANTE! | RICHARD RASMUSSEN"" src=""https://www.youtube.com/embed/-2PjgVtX_bs"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p>",Chave,8,NULL,NULL,NULL
10,2025-01-04 17:47:21.1774343,pagina 9,2,1,NULL,0,0,"<p style=""text-align: center;""><iframe title=""UM ANIMAL COM MAIS DE 300 MILH&Otilde;ES DE ANOS DE EVOLU&Ccedil;&Atilde;O! | BRASIL BIOMAS"" src=""https://www.youtube.com/embed/zKcPVi43gqo"" width=""320"" height=""560"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p>",Chave,9,NULL,NULL,NULL
